mean_accuracy,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.178125,False,1,dadcd_00002,2024-10-19_16-31-47,1729348307,0.1733996868133545,0.1733996868133545,228738,quaoar,10.56.7.46,0.1733996868133545,1
0.221875,False,2,dadcd_00002,2024-10-19_16-31-47,1729348307,0.166459321975708,0.3398590087890625,228738,quaoar,10.56.7.46,0.3398590087890625,2
0.3125,False,3,dadcd_00002,2024-10-19_16-31-47,1729348307,0.16930770874023438,0.5091667175292969,228738,quaoar,10.56.7.46,0.5091667175292969,3
0.34375,False,4,dadcd_00002,2024-10-19_16-31-47,1729348307,0.16365337371826172,0.6728200912475586,228738,quaoar,10.56.7.46,0.6728200912475586,4
0.46875,False,5,dadcd_00002,2024-10-19_16-31-47,1729348307,0.16374516487121582,0.8365652561187744,228738,quaoar,10.56.7.46,0.8365652561187744,5
0.634375,False,6,dadcd_00002,2024-10-19_16-31-47,1729348307,0.16234755516052246,0.9989128112792969,228738,quaoar,10.56.7.46,0.9989128112792969,6
0.578125,False,7,dadcd_00002,2024-10-19_16-31-48,1729348308,0.16242241859436035,1.1613352298736572,228738,quaoar,10.56.7.46,1.1613352298736572,7
0.6375,False,8,dadcd_00002,2024-10-19_16-31-48,1729348308,0.16440415382385254,1.3257393836975098,228738,quaoar,10.56.7.46,1.3257393836975098,8
0.721875,False,9,dadcd_00002,2024-10-19_16-31-48,1729348308,0.16407513618469238,1.4898145198822021,228738,quaoar,10.56.7.46,1.4898145198822021,9
0.771875,False,10,dadcd_00002,2024-10-19_16-31-48,1729348308,0.16154217720031738,1.6513566970825195,228738,quaoar,10.56.7.46,1.6513566970825195,10
0.759375,False,11,dadcd_00002,2024-10-19_16-31-48,1729348308,0.1663343906402588,1.8176910877227783,228738,quaoar,10.56.7.46,1.8176910877227783,11
0.765625,False,12,dadcd_00002,2024-10-19_16-31-48,1729348308,0.16891121864318848,1.9866023063659668,228738,quaoar,10.56.7.46,1.9866023063659668,12
0.803125,False,13,dadcd_00002,2024-10-19_16-31-49,1729348309,0.16331100463867188,2.1499133110046387,228738,quaoar,10.56.7.46,2.1499133110046387,13
0.803125,False,14,dadcd_00002,2024-10-19_16-31-49,1729348309,0.16694140434265137,2.31685471534729,228738,quaoar,10.56.7.46,2.31685471534729,14
0.803125,False,15,dadcd_00002,2024-10-19_16-31-49,1729348309,0.1651153564453125,2.4819700717926025,228738,quaoar,10.56.7.46,2.4819700717926025,15
0.80625,False,16,dadcd_00002,2024-10-19_16-31-49,1729348309,0.16205811500549316,2.6440281867980957,228738,quaoar,10.56.7.46,2.6440281867980957,16
0.8375,False,17,dadcd_00002,2024-10-19_16-31-49,1729348309,0.16235852241516113,2.806386709213257,228738,quaoar,10.56.7.46,2.806386709213257,17
0.853125,False,18,dadcd_00002,2024-10-19_16-31-49,1729348309,0.16380023956298828,2.970186948776245,228738,quaoar,10.56.7.46,2.970186948776245,18
0.83125,False,19,dadcd_00002,2024-10-19_16-31-50,1729348310,0.16225433349609375,3.132441282272339,228738,quaoar,10.56.7.46,3.132441282272339,19
0.815625,False,20,dadcd_00002,2024-10-19_16-31-50,1729348310,0.16373109817504883,3.2961723804473877,228738,quaoar,10.56.7.46,3.2961723804473877,20
0.840625,False,21,dadcd_00002,2024-10-19_16-31-50,1729348310,0.16404104232788086,3.4602134227752686,228738,quaoar,10.56.7.46,3.4602134227752686,21
0.840625,False,22,dadcd_00002,2024-10-19_16-31-50,1729348310,0.1644589900970459,3.6246724128723145,228738,quaoar,10.56.7.46,3.6246724128723145,22
0.871875,False,23,dadcd_00002,2024-10-19_16-31-50,1729348310,0.16394686698913574,3.78861927986145,228738,quaoar,10.56.7.46,3.78861927986145,23
0.896875,False,24,dadcd_00002,2024-10-19_16-31-50,1729348310,0.1649625301361084,3.9535818099975586,228738,quaoar,10.56.7.46,3.9535818099975586,24
0.89375,False,25,dadcd_00002,2024-10-19_16-31-51,1729348311,0.16495490074157715,4.118536710739136,228738,quaoar,10.56.7.46,4.118536710739136,25
0.85625,False,26,dadcd_00002,2024-10-19_16-31-51,1729348311,0.17204046249389648,4.290577173233032,228738,quaoar,10.56.7.46,4.290577173233032,26
0.865625,False,27,dadcd_00002,2024-10-19_16-31-51,1729348311,0.1633138656616211,4.453891038894653,228738,quaoar,10.56.7.46,4.453891038894653,27
