mean_accuracy,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.3125,False,1,dadcd_00011,2024-10-19_16-32-10,1729348330,0.17805767059326172,0.17805767059326172,229964,quaoar,10.56.7.46,0.17805767059326172,1
0.684375,False,2,dadcd_00011,2024-10-19_16-32-10,1729348330,0.16928553581237793,0.34734320640563965,229964,quaoar,10.56.7.46,0.34734320640563965,2
0.646875,False,3,dadcd_00011,2024-10-19_16-32-10,1729348330,0.16413521766662598,0.5114784240722656,229964,quaoar,10.56.7.46,0.5114784240722656,3
0.771875,False,4,dadcd_00011,2024-10-19_16-32-11,1729348331,0.16344881057739258,0.6749272346496582,229964,quaoar,10.56.7.46,0.6749272346496582,4
0.79375,False,5,dadcd_00011,2024-10-19_16-32-11,1729348331,0.1702253818511963,0.8451526165008545,229964,quaoar,10.56.7.46,0.8451526165008545,5
0.8,False,6,dadcd_00011,2024-10-19_16-32-11,1729348331,0.17033028602600098,1.0154829025268555,229964,quaoar,10.56.7.46,1.0154829025268555,6
0.78125,False,7,dadcd_00011,2024-10-19_16-32-11,1729348331,0.16713643074035645,1.182619333267212,229964,quaoar,10.56.7.46,1.182619333267212,7
0.85625,False,8,dadcd_00011,2024-10-19_16-32-11,1729348331,0.16681790351867676,1.3494372367858887,229964,quaoar,10.56.7.46,1.3494372367858887,8
0.840625,False,9,dadcd_00011,2024-10-19_16-32-11,1729348331,0.16688156127929688,1.5163187980651855,229964,quaoar,10.56.7.46,1.5163187980651855,9
0.859375,True,10,dadcd_00011,2024-10-19_16-32-12,1729348332,0.16913723945617676,1.6854560375213623,229964,quaoar,10.56.7.46,1.6854560375213623,10
