mean_accuracy,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.65625,False,1,dadcd_00003,2024-10-19_16-31-47,1729348307,0.2875406742095947,0.2875406742095947,228739,quaoar,10.56.7.46,0.2875406742095947,1
0.809375,False,2,dadcd_00003,2024-10-19_16-31-47,1729348307,0.2568364143371582,0.5443770885467529,228739,quaoar,10.56.7.46,0.5443770885467529,2
0.8,False,3,dadcd_00003,2024-10-19_16-31-48,1729348308,0.21574997901916504,0.760127067565918,228739,quaoar,10.56.7.46,0.760127067565918,3
0.784375,False,4,dadcd_00003,2024-10-19_16-31-48,1729348308,0.1693120002746582,0.9294390678405762,228739,quaoar,10.56.7.46,0.9294390678405762,4
0.8375,False,5,dadcd_00003,2024-10-19_16-31-48,1729348308,0.16594576835632324,1.0953848361968994,228739,quaoar,10.56.7.46,1.0953848361968994,5
0.8625,False,6,dadcd_00003,2024-10-19_16-31-48,1729348308,0.16601967811584473,1.2614045143127441,228739,quaoar,10.56.7.46,1.2614045143127441,6
0.890625,False,7,dadcd_00003,2024-10-19_16-31-48,1729348308,0.16928434371948242,1.4306888580322266,228739,quaoar,10.56.7.46,1.4306888580322266,7
0.871875,False,8,dadcd_00003,2024-10-19_16-31-48,1729348308,0.1690993309020996,1.5997881889343262,228739,quaoar,10.56.7.46,1.5997881889343262,8
0.85,False,9,dadcd_00003,2024-10-19_16-31-49,1729348309,0.16669511795043945,1.7664833068847656,228739,quaoar,10.56.7.46,1.7664833068847656,9
0.88125,False,10,dadcd_00003,2024-10-19_16-31-49,1729348309,0.17121505737304688,1.9376983642578125,228739,quaoar,10.56.7.46,1.9376983642578125,10
0.878125,False,11,dadcd_00003,2024-10-19_16-31-49,1729348309,0.16763567924499512,2.1053340435028076,228739,quaoar,10.56.7.46,2.1053340435028076,11
0.9,False,12,dadcd_00003,2024-10-19_16-31-49,1729348309,0.16612482070922852,2.271458864212036,228739,quaoar,10.56.7.46,2.271458864212036,12
0.884375,False,13,dadcd_00003,2024-10-19_16-31-49,1729348309,0.16806459426879883,2.439523458480835,228739,quaoar,10.56.7.46,2.439523458480835,13
0.871875,False,14,dadcd_00003,2024-10-19_16-31-50,1729348310,0.16592621803283691,2.605449676513672,228739,quaoar,10.56.7.46,2.605449676513672,14
0.896875,False,15,dadcd_00003,2024-10-19_16-31-50,1729348310,0.16612482070922852,2.7715744972229004,228739,quaoar,10.56.7.46,2.7715744972229004,15
0.896875,False,16,dadcd_00003,2024-10-19_16-31-50,1729348310,0.16740155220031738,2.9389760494232178,228739,quaoar,10.56.7.46,2.9389760494232178,16
0.9,False,17,dadcd_00003,2024-10-19_16-31-50,1729348310,0.16730761528015137,3.106283664703369,228739,quaoar,10.56.7.46,3.106283664703369,17
0.884375,False,18,dadcd_00003,2024-10-19_16-31-50,1729348310,0.1664273738861084,3.2727110385894775,228739,quaoar,10.56.7.46,3.2727110385894775,18
0.90625,False,19,dadcd_00003,2024-10-19_16-31-50,1729348310,0.16806817054748535,3.440779209136963,228739,quaoar,10.56.7.46,3.440779209136963,19
0.91875,False,20,dadcd_00003,2024-10-19_16-31-51,1729348311,0.16912460327148438,3.6099038124084473,228739,quaoar,10.56.7.46,3.6099038124084473,20
0.8625,False,21,dadcd_00003,2024-10-19_16-31-51,1729348311,0.178513765335083,3.7884175777435303,228739,quaoar,10.56.7.46,3.7884175777435303,21
0.88125,False,22,dadcd_00003,2024-10-19_16-31-51,1729348311,0.16812562942504883,3.956543207168579,228739,quaoar,10.56.7.46,3.956543207168579,22
0.9,False,23,dadcd_00003,2024-10-19_16-31-51,1729348311,0.16700100898742676,4.123544216156006,228739,quaoar,10.56.7.46,4.123544216156006,23
0.925,False,24,dadcd_00003,2024-10-19_16-31-51,1729348311,0.166656494140625,4.290200710296631,228739,quaoar,10.56.7.46,4.290200710296631,24
0.91875,False,25,dadcd_00003,2024-10-19_16-31-51,1729348311,0.1667013168334961,4.456902027130127,228739,quaoar,10.56.7.46,4.456902027130127,25
0.890625,False,26,dadcd_00003,2024-10-19_16-31-52,1729348312,0.16916251182556152,4.6260645389556885,228739,quaoar,10.56.7.46,4.6260645389556885,26
0.915625,False,27,dadcd_00003,2024-10-19_16-31-52,1729348312,0.1744401454925537,4.800504684448242,228739,quaoar,10.56.7.46,4.800504684448242,27
0.878125,False,28,dadcd_00003,2024-10-19_16-31-52,1729348312,0.16608119010925293,4.966585874557495,228739,quaoar,10.56.7.46,4.966585874557495,28
0.89375,False,29,dadcd_00003,2024-10-19_16-31-52,1729348312,0.1673135757446289,5.133899450302124,228739,quaoar,10.56.7.46,5.133899450302124,29
0.8875,True,30,dadcd_00003,2024-10-19_16-31-52,1729348312,0.16935014724731445,5.3032495975494385,228739,quaoar,10.56.7.46,5.3032495975494385,30
