mean_accuracy,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.621875,False,1,dadcd_00013,2024-10-19_16-32-13,1729348333,0.17582035064697266,0.17582035064697266,230170,quaoar,10.56.7.46,0.17582035064697266,1
0.8,False,2,dadcd_00013,2024-10-19_16-32-13,1729348333,0.1687335968017578,0.34455394744873047,230170,quaoar,10.56.7.46,0.34455394744873047,2
0.875,False,3,dadcd_00013,2024-10-19_16-32-13,1729348333,0.1708214282989502,0.5153753757476807,230170,quaoar,10.56.7.46,0.5153753757476807,3
0.90625,False,4,dadcd_00013,2024-10-19_16-32-13,1729348333,0.16824054718017578,0.6836159229278564,230170,quaoar,10.56.7.46,0.6836159229278564,4
0.9,False,5,dadcd_00013,2024-10-19_16-32-13,1729348333,0.16855311393737793,0.8521690368652344,230170,quaoar,10.56.7.46,0.8521690368652344,5
0.896875,False,6,dadcd_00013,2024-10-19_16-32-13,1729348333,0.16629362106323242,1.0184626579284668,230170,quaoar,10.56.7.46,1.0184626579284668,6
0.90625,False,7,dadcd_00013,2024-10-19_16-32-14,1729348334,0.1707782745361328,1.1892409324645996,230170,quaoar,10.56.7.46,1.1892409324645996,7
0.921875,False,8,dadcd_00013,2024-10-19_16-32-14,1729348334,0.16310381889343262,1.3523447513580322,230170,quaoar,10.56.7.46,1.3523447513580322,8
0.91875,False,9,dadcd_00013,2024-10-19_16-32-14,1729348334,0.17377281188964844,1.5261175632476807,230170,quaoar,10.56.7.46,1.5261175632476807,9
0.9125,False,10,dadcd_00013,2024-10-19_16-32-14,1729348334,0.16145730018615723,1.687574863433838,230170,quaoar,10.56.7.46,1.687574863433838,10
0.94375,False,11,dadcd_00013,2024-10-19_16-32-14,1729348334,0.15774226188659668,1.8453171253204346,230170,quaoar,10.56.7.46,1.8453171253204346,11
0.90625,False,12,dadcd_00013,2024-10-19_16-32-15,1729348335,0.15911602973937988,2.0044331550598145,230170,quaoar,10.56.7.46,2.0044331550598145,12
0.909375,False,13,dadcd_00013,2024-10-19_16-32-15,1729348335,0.1599733829498291,2.1644065380096436,230170,quaoar,10.56.7.46,2.1644065380096436,13
0.940625,False,14,dadcd_00013,2024-10-19_16-32-15,1729348335,0.15753436088562012,2.3219408988952637,230170,quaoar,10.56.7.46,2.3219408988952637,14
0.934375,False,15,dadcd_00013,2024-10-19_16-32-15,1729348335,0.1584770679473877,2.4804179668426514,230170,quaoar,10.56.7.46,2.4804179668426514,15
0.915625,False,16,dadcd_00013,2024-10-19_16-32-15,1729348335,0.1552579402923584,2.6356759071350098,230170,quaoar,10.56.7.46,2.6356759071350098,16
0.928125,False,17,dadcd_00013,2024-10-19_16-32-15,1729348335,0.1577136516571045,2.7933895587921143,230170,quaoar,10.56.7.46,2.7933895587921143,17
0.93125,False,18,dadcd_00013,2024-10-19_16-32-16,1729348336,0.1563096046447754,2.9496991634368896,230170,quaoar,10.56.7.46,2.9496991634368896,18
