mean_accuracy,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.30625,False,1,dadcd_00007,2024-10-19_16-32-05,1729348325,0.19640278816223145,0.19640278816223145,229569,quaoar,10.56.7.46,0.19640278816223145,1
0.478125,False,2,dadcd_00007,2024-10-19_16-32-05,1729348325,0.1847531795501709,0.38115596771240234,229569,quaoar,10.56.7.46,0.38115596771240234,2
0.659375,False,3,dadcd_00007,2024-10-19_16-32-05,1729348325,0.1731431484222412,0.5542991161346436,229569,quaoar,10.56.7.46,0.5542991161346436,3
0.765625,False,4,dadcd_00007,2024-10-19_16-32-05,1729348325,0.1673591136932373,0.7216582298278809,229569,quaoar,10.56.7.46,0.7216582298278809,4
0.7875,False,5,dadcd_00007,2024-10-19_16-32-06,1729348326,0.16938281059265137,0.8910410404205322,229569,quaoar,10.56.7.46,0.8910410404205322,5
0.7875,False,6,dadcd_00007,2024-10-19_16-32-06,1729348326,0.17564845085144043,1.0666894912719727,229569,quaoar,10.56.7.46,1.0666894912719727,6
0.853125,False,7,dadcd_00007,2024-10-19_16-32-06,1729348326,0.17588114738464355,1.2425706386566162,229569,quaoar,10.56.7.46,1.2425706386566162,7
0.815625,False,8,dadcd_00007,2024-10-19_16-32-06,1729348326,0.17390131950378418,1.4164719581604004,229569,quaoar,10.56.7.46,1.4164719581604004,8
0.83125,False,9,dadcd_00007,2024-10-19_16-32-06,1729348326,0.1773824691772461,1.5938544273376465,229569,quaoar,10.56.7.46,1.5938544273376465,9
0.81875,True,10,dadcd_00007,2024-10-19_16-32-06,1729348326,0.17185282707214355,1.76570725440979,229569,quaoar,10.56.7.46,1.76570725440979,10
